,Brand,Continent,Country,Latitude,Longitude,Sentiment
9217,Fashion Co.,North America,United States,42.4853125,-83.3771553,1
9218,Media Co.,North America,United States,39.7837304,-100.4458825,0
9219,Media Co.,Europe,The Netherlands,51.9625101,7.6251879,0
9220,Restaurant Chain,Europe,Andorra,40.0040266,-0.063353574512264,2
9221,Restaurant Chain,Asia,Thailand,14.8971921,100.83273,3
9222,Restaurant Chain,Europe,United Kingdom,52.5310214,-1.2649062,0
9223,Fashion Co.,Europe,United Kingdom,53.48153335,-1.38104220661496,1
9224,Automotive Co.,North America,Canada,50.000678,-86.000977,2
9225,Fashion Co.,North America,United States,32.7762719,-96.7968559,-4
9226,Restaurant Chain,North America,Bermuda,40.8466508,-73.8785937,3
9227,Media Co.,Oceania,Kiribati,21.304547,-157.855676,0
9228,Fashion Co.,Europe,United Kingdom,51.5073219,-0.1276474,-3
9229,Media Co.,North America,Bahamas,25.7741728,-80.19362,-1
9230,Fashion Co.,North America,United States,41.8755616,-87.6244212,-3
9231,Restaurant Chain,North America,Costa Rica,10.3767813,-84.0139721354854,3
9232,Automotive Co.,Europe,Germany,52.5170365,13.3888599,0
9233,Media Co.,North America,United States,40.2253569,-82.6881395,0
9234,Media Co.,North America,United States,31.8160381,-99.5120986,4
9235,Restaurant Chain,South America,Bolivia,-17.0568696,-64.9912286,3
9236,Media Co.,North America,Canada,44.0581728,-121.3153096,0
9237,Automotive Co.,North America,United States,36.7014631,-118.755997,0
9238,Media Co.,North America,United States,41.2587459,-95.9383758,0
9239,Automotive Co.,Australia,Australia,-24.7761086,134.755,2
9240,Automotive Co.,North America,Bermuda,39.5162234,-76.9382069,1
9241,Automotive Co.,Asia,Vietnam,13.2904027,108.4265113,0
9242,Media Co.,Europe,Spain,40.4167047,-3.7035825,2
9243,Media Co.,Europe,United Kingdom,52.2928116,-3.73893,-4
9244,Media Co.,South America,Peru,-6.8699697,-75.0458515,-2
9245,Restaurant Chain,North America,Mexico,22.5000485,-100.0000375,3
9246,Media Co.,South America,Chile,-31.7613365,-71.3187697,4
9247,Restaurant Chain,Asia,Korea,36.638392,127.6961188,3
9248,Automotive Co.,Europe,United Kingdom,53.4794892,-2.2451148,0
9249,Restaurant Chain,Europe,The Netherlands,52.5001698,5.7480821,-3
9250,Media Co.,North America,Mexico,34.0536909,-118.242766,-3
9251,Fashion Co.,North America,Bermuda,39.9527237,-75.1635262,-4
9252,Restaurant Chain,North America,Belize,20.9670759,-89.6237402,3
9253,Automotive Co.,North America,United States,37.8044557,-122.2713563,3
9254,Automotive Co.,Europe,United Kingdom,56.1889155,-2.99920015161107,0
9255,Automotive Co.,North America,United States,31.8160381,-99.5120986,2
9256,Fashion Co.,North America,United States,43.5896231,-79.6443879,-4
9257,Automotive Co.,North America,Mexico,34.0536909,-118.242766,4
9258,Media Co.,Europe,United Kingdom,54.5964411,-5.9302761,0
9259,Fashion Co.,North America,Bermuda,40.7127281,-74.0060152,0
9260,Restaurant Chain,South America,Bolivia,-17.7834936,-63.1820853,3
9261,Media Co.,North America,United States,31.8160381,-99.5120986,0
9262,Fashion Co.,Asia,Malaysia,3.2083304,101.304146,-3
9263,Fashion Co.,Europe,United Kingdom,56.7861112,-4.1140518,0
9264,Restaurant Chain,North America,Mexico,19.4326296,-99.1331785,-3
9265,Media Co.,North America,United States,40.3270127,-86.1746933,4
9266,Automotive Co.,Europe,United Kingdom,53.0162014,-2.1812607,-1
9267,Media Co.,Australia,Australia,-27.4689682,153.0234991,4
9268,Fashion Co.,Asia,Nepal,28.6138954,77.2090057,0
9269,Media Co.,North America,United States,41.8755616,-87.6244212,0
9270,Media Co.,North America,Canada,50.000678,-86.000977,2
9271,Automotive Co.,North America,Bermuda,38.8949924,-77.0365581,-1
9272,Media Co.,North America,Mexico,34.0536909,-118.242766,0
